seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	100206568	100206646	79	*	X0001	3257	100175955	100206704	30750	-	0	inside	57	HPS1
chr10	101491764	101492203	440	*	X0003	1355	101468505	101492423	23919	-	0	inside	219	COX15
chr10	101491764	101492203	440	*	X0003	51076	101491958	101515894	23937	+	0	overlapStart	0	CUTC
chr10	101945612	101945707	96	*	X0005	10613	101909847	101945814	35968	-	0	inside	106	ERLIN1
chr10	101945868	101946094	227	*	X0006	10613	101909847	101945814	35968	-	53	upstream	53	ERLIN1
chr10	101946111	101946126	16	*	X0007	10613	101909847	101945814	35968	-	296	upstream	296	ERLIN1
chr10	102027443	102027456	14	*	X0008	55280	101992055	102027437	35383	-	5	upstream	5	CWF19L1
chr10	102046310	102046477	168	*	X0009	282991	102033035	102046469	13435	-	0	overlapStart	0	BLOC1S2
chr10	102106133	102106145	13	*	X0010	6319	102106772	102124588	17817	+	626	upstream	626	SCD
chr10	102106160	102106412	253	*	X0011	6319	102106772	102124588	17817	+	359	upstream	359	SCD
chr10	102106448	102106467	20	*	X0012	6319	102106772	102124588	17817	+	304	upstream	304	SCD
chr10	102106944	102107107	164	*	X0013	6319	102106772	102124588	17817	+	0	inside	171	SCD
chr10	102289449	102289643	195	*	X0014	25956	102246403	102289636	43234	-	0	overlapStart	0	SEC31B
chr10	102289449	102289643	195	*	X0014	4714	102283497	102289636	6140	-	0	overlapStart	0	NDUFB8
chr10	102289769	102289786	18	*	X0015	25956	102246403	102289636	43234	-	132	upstream	132	SEC31B
chr10	102289769	102289786	18	*	X0015	4714	102283497	102289636	6140	-	132	upstream	132	NDUFB8
chr10	102746924	102746953	30	*	X0016	56652	102747293	102754158	6866	+	339	upstream	339	TWNK
chr10	102747014	102747034	21	*	X0017	56652	102747293	102754158	6866	+	258	upstream	258	TWNK
chr10	102747014	102747034	21	*	X0017	84545	102737579	102747272	9694	-	0	inside	237	MRPL43
chr10	102747091	102747171	81	*	X0018	56652	102747293	102754158	6866	+	121	upstream	121	TWNK
chr10	102747091	102747171	81	*	X0018	84545	102737579	102747272	9694	-	0	inside	100	MRPL43
chr10	102747227	102747251	25	*	X0019	56652	102747293	102754158	6866	+	41	upstream	41	TWNK
chr10	102747227	102747251	25	*	X0019	84545	102737579	102747272	9694	-	0	inside	20	MRPL43
chr10	103578032	103578083	52	*	X0026	100289509	103578825	103588646	9822	+	741	upstream	741	KCNIP2-AS1
chr10	103578110	103578287	178	*	X0027	100289509	103578825	103588646	9822	+	537	upstream	537	KCNIP2-AS1
chr10	103578322	103578338	17	*	X0028	100289509	103578825	103588646	9822	+	486	upstream	486	KCNIP2-AS1
chr10	103815583	103815679	97	*	X0029	79591	103605356	103815932	210577	-	0	inside	252	ARMH3
chr10	103815785	103815960	176	*	X0030	79591	103605356	103815932	210577	-	0	overlapStart	0	ARMH3
chr10	103825120	103825143	24	*	X0031	79803	103825124	103827795	2672	+	0	overlapStart	0	HPS6
chr10	103880048	103880235	188	*	X0032	8861	103867325	103880210	12886	-	0	overlapStart	0	LDB1
chr10	103892773	103892865	93	*	X0033	23082	103892787	103910090	17304	+	0	overlapStart	0	PPRC1
chr10	103893080	103893132	53	*	X0034	23082	103892787	103910090	17304	+	0	inside	292	PPRC1
chr10	103912050	103912183	134	*	X0036	9221	103911933	103923627	11695	+	0	inside	116	NOLC1
chr10	104180636	104180773	138	*	X0041	5662	104162374	104179691	17318	-	944	upstream	944	PSD
chr10	104180887	104181256	370	*	X0042	5662	104162374	104179691	17318	-	1195	upstream	1195	PSD
chr10	104192260	104192370	111	*	X0043	79004	104183002	104192423	9422	-	0	inside	52	CUEDC2
chr10	104473989	104474087	99	*	X0046	118980	104474298	104498946	24649	+	210	upstream	210	SFXN2
chr10	104473989	104474087	99	*	X0046	403	104433484	104474190	40707	-	0	inside	102	ARL3
chr10	104474437	104474471	35	*	X0047	118980	104474298	104498946	24649	+	0	inside	138	SFXN2
chr10	104474437	104474471	35	*	X0047	403	104433484	104474190	40707	-	246	upstream	246	ARL3
chr10	104613913	104614150	238	*	X0048	100528007	104613967	104661655	47689	+	0	overlapStart	0	BORCS7-ASMT
chr10	104613913	104614150	238	*	X0048	119032	104613967	104624718	10752	+	0	overlapStart	0	BORCS7
chr10	104678094	104678569	476	*	X0049	54805	104678075	104838344	160270	+	0	inside	18	CNNM2
chr10	104952972	104952981	10	*	X0050	22978	104847774	104953063	105290	-	0	inside	81	NT5C2
chr10	105127708	105127757	50	*	X0051	6877	105127724	105148822	21099	+	0	overlapStart	0	TAF5
chr10	105127787	105127797	11	*	X0052	6877	105127724	105148822	21099	+	0	inside	62	TAF5
chr10	105726625	105726664	40	*	X0053	9748	105727470	105787342	59873	+	805	upstream	805	SLK
chr10	105726731	105727025	295	*	X0054	9748	105727470	105787342	59873	+	444	upstream	444	SLK
chr10	1094681	1094694	14	*	X0056	22884	1095478	1178237	82760	+	783	upstream	783	WDR37
chr10	1094726	1094846	121	*	X0057	22884	1095478	1178237	82760	+	631	upstream	631	WDR37
chr10	111682926	111683041	116	*	X0058	7511	111624524	111683311	58788	-	0	inside	269	XPNPEP1
chr10	111683095	111683109	15	*	X0059	7511	111624524	111683311	58788	-	0	inside	201	XPNPEP1
chr10	111683165	111683185	21	*	X0060	7511	111624524	111683311	58788	-	0	inside	125	XPNPEP1
chr10	111683203	111683226	24	*	X0061	7511	111624524	111683311	58788	-	0	inside	84	XPNPEP1
chr10	112327407	112327585	179	*	X0067	9126	112327449	112364392	36944	+	0	overlapStart	0	SMC3
chr10	112631660	112631687	28	*	X0069	27250	112631553	112659764	28212	+	0	inside	106	PDCD4
chr10	112631660	112631687	28	*	X0069	282997	112628648	112630662	2015	-	997	upstream	997	PDCD4-AS1
chr10	113943434	113943491	58	*	X0070	57678	113909622	113943537	33916	-	0	inside	45	GPAM
chr10	113943541	113943775	235	*	X0071	57678	113909622	113943537	33916	-	3	upstream	3	GPAM
chr10	114206497	114207116	620	*	X0072	143187	114206756	114578504	371749	+	0	overlapStart	0	VTI1A
chr10	114206497	114207116	620	*	X0072	64429	114190058	114207306	17249	-	0	inside	189	ZDHHC6
chr10	115614341	115614587	247	*	X0073	374354	115614391	115672265	57875	+	0	overlapStart	0	NHLRC2
chr10	115614341	115614587	247	*	X0073	9937	115594483	115614163	19681	-	177	upstream	177	DCLRE1A
chr10	11653434	11653481	48	*	X0074	9712	11502509	11653679	151171	-	0	inside	197	USP6NL
chr10	11653493	11653668	176	*	X0075	9712	11502509	11653679	151171	-	0	inside	10	USP6NL
chr10	116581546	116581550	5	*	X0076	57700	116581503	116659586	78084	+	0	inside	42	FHIP2A
chr10	116697864	116697878	15	*	X0077	142940	116697915	116737439	39525	+	36	upstream	36	TRUB1
chr10	11865376	11865403	28	*	X0078	254427	11865397	11914276	48880	+	0	overlapStart	0	PROSER2
